500, 0, 542.81
1000, 0, 553.41
1500, 0, 566.01
2000, 0, 580.61
2500, 0, 597.21
3000, 0, 615.81
3500, 0, 636.41
4000, 0, 659.01
4500, 0, 683.61
5000, 0, 710.21
5500, 0, 738.81
6000, 0, 769.41
6500, 0, 802.01
7000, 0, 836.61
7500, 0, 873.21
8000, 0, 911.81
8500, 0, 952.41
9000, 0, 995.01
9500, 0, 1039.61
10000, 0, 1086.21
10500, 0, 1134.81
11000, 0, 1185.41
11500, 0, 1238.01
12000, 0, 1292.61
12500, 0, 1349.21
13000, 0, 1407.81
13500, 0, 1468.41
14000, 0, 1531.01
14500, 0, 1595.61
15000, 0, 1662.21
15500, 0, 1730.81
16000, 0, 1801.41
16500, 0, 1874.01
17000, 0, 1948.61
17500, 0, 2025.21
18000, 0, 2103.81
18500, 0, 2184.41
19000, 0, 2267.01
19500, 0, 2351.61
20000, 0, 2438.21
20500, 0, 2526.81
21000, 0, 2617.41
21500, 0, 2710.01
22000, 0, 2804.61
22500, 0, 2901.21
23000, 0, 2999.81
23500, 0, 3100.41
24000, 0, 3203.01
24500, 0, 3307.61
25000, 0, 3414.21
25500, 0, 3522.81
26000, 0, 3633.41
26500, 0, 3746.01
27000, 0, 3860.61
27500, 0, 3977.21
28000, 0, 4095.81
28500, 0, 4216.41
29000, 0, 4339.01
29500, 0, 4463.61
30000, 0, 4590.21
30500, 0, 4718.81
31000, 0, 4849.41
31500, 0, 4982.01
32000, 0, 5116.61
